Producto,Precio,URL
Tagat TH40 (PEG-40 Hydrogenated Castor Oil),15200,/collections/nuestros-productos/products/tagat-th40-peg-40-hydrogenated-castor-oil
Goma Guar N (Dehyquart Guar N),7900,/collections/nuestros-productos/products/goma-guar-n-dehyquart-guar-n
Colágeno Cuaternizado (Capilar),7200,/collections/nuestros-productos/products/colageno-cuaternizado-capilar
Silver Citrate (Antibacterial),13500,/collections/nuestros-productos/products/silver-citrate-antibacterial
Aceite de Rosa (cosmético),8900,/collections/nuestros-productos/products/aceite-de-rosa
Botella Vidrio Rosado traslúcido con pipeta,1450,/collections/nuestros-productos/products/gotario-vidrio-empavonado-rosado
Mikado Ámbar 60 ml,1690,/collections/nuestros-productos/products/mikado-vidrio-ambar
Creatina (energia celular y reestrucutra puentes en el cabello),14200,/collections/nuestros-productos/products/creatina-2
Botella Vidrio transparente con Gatillo Blanco,1690,/collections/nuestros-productos/products/botella-vidrio-con-gatillo
Mica - Sericite,7900,/collections/nuestros-productos/products/mica-sericite-2
Perlante (Tego Pearl N300),4200,/collections/nuestros-productos/products/perlante-tego-pearl-n300
Ethicskin (Anti age anti manchas antiinflamatorio),17900,/collections/nuestros-productos/products/ethicskin
Unicert Violet (Matizador Violeta),6700,/collections/nuestros-productos/products/unicert-violet-matizador-violeta
Extracto de Yogurt,4500,/collections/nuestros-productos/products/extracto-de-yogurt
Synchronight,17200,/collections/nuestros-productos/products/synchronight
PhytoCellTec (Células Madres - Manzana),17500,/collections/nuestros-productos/products/phytocelltec-celulas-madre-manzana
Clitoria Ternatea (Guisante Mariposa),4990,/collections/nuestros-productos/products/clitoria-ternatea
LumiGlow - Activo del Maqui,7900,/collections/nuestros-productos/products/lumiglow-activo-del-maqui
Extracto de Vino HG ( Grape Wine Juice),9900,/collections/nuestros-productos/products/extracto-de-vino-hg-grape-vine-juice
Extracto de Flor de Loto,4500,/collections/nuestros-productos/products/extracto-hg-flor-de-loto
Lipacide,11900,/collections/nuestros-productos/products/lipacide
Cera de Soya,9900,/collections/nuestros-productos/products/cera-de-soya
Bio - Capigen Veg (Activos para la caída y debilidad capilar),16100,/collections/nuestros-productos/products/bio-capigen-veg
Novaternium 7,4900,/collections/nuestros-productos/products/novaternium-7
