Producto,Precio,URL
1-MANTECA DE CACAO 50G ,4990,https://anahataproductosnaturales.cl/producto/96-extra-contorno-reductor-30-ml/
10- PIGMENTO NATURAL BETACAROTENO EN POLVO 5 G ,1990,https://anahataproductosnaturales.cl/producto/88-decyl-glucosidico-500ml/
100- BASE JABON BLANCO 1 KILO ,7690,https://anahataproductosnaturales.cl/producto/100-base-jabon-blanco-1-kilo/
11- EXFOLIANTE DE JOJOBA 50G ,2990,https://anahataproductosnaturales.cl/producto/87-acido-hialuronico-de-bajo-peso-molecular-200-ml/
12- MANZANILLA EN POLVO 20G ,1990,https://anahataproductosnaturales.cl/producto/85-sci-1-kilo/
13- HIBISCO EN POLVO 20G ,1990,https://anahataproductosnaturales.cl/producto/86-vitamina-e-oleosa-50-ml/
14-AROMA COMESTIBLE MORA 20ML ,2900,https://anahataproductosnaturales.cl/producto/85-caja-sorpresa/
15- AROMA COMESTIBLE A CHICLE 20ML ,2900,https://anahataproductosnaturales.cl/producto/84-aceite-esencial-de-manzanilla-5ml-wsz/
16- AROMA HERBAL MELISA 20 ML ,2900,https://anahataproductosnaturales.cl/producto/81-serum-capilar-250-ml/
16-AROMA COMESTIBLE TOFFE 20ML ,2900,https://anahataproductosnaturales.cl/producto/83-manteca-de-cacao-100g/
18- AROMA HERBAL LAVANDA 20 ML ,2900,https://anahataproductosnaturales.cl/producto/80-colorante-hidro-caramelo-20-ml/
19- AROMA CEDRON 20 ML ,2900,https://anahataproductosnaturales.cl/producto/79-colorante-hidro-turquesa-20-ml/
2 MANTECA DE KARITE 100G ,3490,https://anahataproductosnaturales.cl/producto/96-coco-fraccionado-100ml/
20- CREMA CAPILAR CON ENJUAGUE 1 LITRO ,7300,https://anahataproductosnaturales.cl/producto/78-extracto-de-calendula-200ml/
23- BASE SERUM DERMICO 250 ML ,5990,https://anahataproductosnaturales.cl/producto/78-carbon-activado-50-g/
24- ACEITE DE ALMENDRAS 5 LITROS ,44990,https://anahataproductosnaturales.cl/producto/77-activ-white-100ml/
25- ACEITE DE COCO 1 KILO ,13990,https://anahataproductosnaturales.cl/producto/76-vitamina-c-q10-10ml/
26- ACEITE DE COCO 250G ,5990,https://anahataproductosnaturales.cl/producto/75-cera-carnauba-100g/
27- ACEITE DE JOJOBA 100ML ,4600,https://anahataproductosnaturales.cl/producto/74-vine-up-lift-30-ml/
28-COCO FRACCIONADO 100ML ,4600,https://anahataproductosnaturales.cl/producto/73-resveratrol-10ml/
29-ACEITE DE CALENDULA 200ML ,8300,https://anahataproductosnaturales.cl/producto/72-extra-linea-reductor-30-ml/
3- MANTECA DE KARITE 1 KILO ,19990,https://anahataproductosnaturales.cl/producto/sharomix-100-ml/
30- ACEITE DE DAMASCO 20 ML ,8300,https://anahataproductosnaturales.cl/producto/71-crema-piel-mixta-anti-edad-noche-500ml/
31-ACEITE ESENCIAL DE MACADAMIA 200ML ,8300,https://anahataproductosnaturales.cl/producto/70-crema-piel-mixta-anti-edad-dia-500ml/
32-ACEITE ESENCIALDE PALTA 200ML ,8300,https://anahataproductosnaturales.cl/producto/69-crema-dermatistis-10-urea-500ml/
33- ACEITE ESENCIAL DE ROSA MOSQUETA 200ML ,8300,https://anahataproductosnaturales.cl/producto/68-base-de-crema-capilar-con-enjuague-1-litro/
34- OLEATO DE LAVANDA 200ML ,5600,https://anahataproductosnaturales.cl/producto/67-gel-de-centella-asiatica/
34-PLACENTA VEGETAL ,11990,https://anahataproductosnaturales.cl/producto/34-placenta-vegetal/
35- OLEATO DE ROEGANO 200ML ,5600,https://anahataproductosnaturales.cl/producto/66-gel-de-aloe-vera-1-litro/
36- OLEATO DE CANNABIS 200ML ,5600,https://anahataproductosnaturales.cl/producto/65-gel-de-ducha-1-litro/
37- OLEATO DE ROMERO 200ML ,5600,https://anahataproductosnaturales.cl/producto/64-base-de-jabon-blanca-1-kilo/
38- GEL DE CENTELLA ASIATICA 1 LITRO ,5990,https://anahataproductosnaturales.cl/producto/63-capilgen-30-ml/
39-GEL DE ALOE VERA 200ML ,5990,https://anahataproductosnaturales.cl/producto/62-fitokeratina-200ml/
4- LANOLINA VEGETAL 50G ,3990,https://anahataproductosnaturales.cl/producto/5-manteca-de-mango-100g-copia/
40.	GEL DE CALENDULA 1 LITRO ,5990,https://anahataproductosnaturales.cl/producto/61-placenta-vegetal-200-ml/
41-GEL DE LINAZA 1 LITRO ,5990,https://anahataproductosnaturales.cl/producto/60-proteina-de-la-seda-200ml/
42- GEL DE ARNICA 1 LITRO ,5990,https://anahataproductosnaturales.cl/producto/59-capilmax-200ml/
43- BTMS 50 100G ,4000,https://anahataproductosnaturales.cl/producto/58-extracto-de-regaliz-200-ml/
44-BTMS 25 100G ,4000,https://anahataproductosnaturales.cl/producto/57-extracto-de-llanten-200-ml/
45- SCS 100G ,3490,https://anahataproductosnaturales.cl/producto/56-extracto-de-shikakai-200-ml/
46-SCI 100G ,3490,https://anahataproductosnaturales.cl/producto/55-extracto-de-amla-200ml/
47- CUARZO EN POLVO 100G ,1990,https://anahataproductosnaturales.cl/producto/54-cascarilla-de-rosa-mosqueta-50g/
48-ARCILLA BLANCA 1 KILO ,3190,https://anahataproductosnaturales.cl/producto/53-hierba-polvo-amla-50g/
49- CARBONATO DE CALCIO 1 KILO ,3190,https://anahataproductosnaturales.cl/producto/52-hierba-polvo-neem-50g/
5- ACEITE ESENCIAL DE MENTA PIPERITA 5ML ,5300,https://anahataproductosnaturales.cl/producto/96-colageno-100ml/
50- UREA 250G ,3990,https://anahataproductosnaturales.cl/producto/51-mica-gliter-10-ml/
51- AGUA MICELAR 5 LITROS ,12990,https://anahataproductosnaturales.cl/producto/50-mica-violeta-obispo-10-ml/
52- AGUA DE ROSAS 5 LITROS ,8990,https://anahataproductosnaturales.cl/producto/49-mica-verde-oliva-10-ml/
53-AGUA DE HAMAMELIS 1 LITRO ,2990,https://anahataproductosnaturales.cl/producto/48-colorantes-variedades-hidrosolubles-20-ml/
6- ACEITE ESENCIAL DE JENJIBRE 5ML ,5300,https://anahataproductosnaturales.cl/producto/95-aroma-lavanda-herbal-20-ml/
7-ACEITE ESENCIAL DE ROMERO 5ML ,5300,https://anahataproductosnaturales.cl/producto/93-proteina-de-la-seda-100ml/
8-ACEITE ESENCIAL ARBOL DELE TÉ 5ML ,5300,https://anahataproductosnaturales.cl/producto/92-sci-100gr/
9- PIGMENTO NATURAL MORA POLVO 5 G ,1990,https://anahataproductosnaturales.cl/producto/89-betacaroteno-hidrosoluble-10-gr/
99-ACIDO CITRICO 250G ,2990,https://anahataproductosnaturales.cl/producto/99-acido-citrico-250g/
Aceite esencial de Neroli ,5300,https://anahataproductosnaturales.cl/producto/aceite-esencial-de-neroli/
Aceite esencial de Rosa ,5300,https://anahataproductosnaturales.cl/producto/aceite-esencial-de-rosa/
Agua de Buganvilia ,2990,https://anahataproductosnaturales.cl/producto/agua-de-buganvilia/
Agua de Roble ,2990,https://anahataproductosnaturales.cl/producto/agua-de-roble-1-litro/
AROMA A PLATANO COMESTIBLE ,2900,https://anahataproductosnaturales.cl/producto/aroma-a-platano-comestible/
Aroma Avena – 20ml ,2900,https://anahataproductosnaturales.cl/producto/aroma-avena-20ml/
